"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"102",5.8,2.7,5.1,1.9,"notsetosa"
"103",7.1,3,5.9,2.1,"notsetosa"
"104",6.3,2.9,5.6,1.8,"notsetosa"
"105",6.5,3,5.8,2.2,"notsetosa"
"106",7.6,3,6.6,2.1,"notsetosa"
"107",4.9,2.5,4.5,1.7,"notsetosa"
"108",7.3,2.9,6.3,1.8,"notsetosa"
"109",6.7,2.5,5.8,1.8,"notsetosa"
"110",7.2,3.6,6.1,2.5,"notsetosa"
"111",6.5,3.2,5.1,2,"notsetosa"
"112",6.4,2.7,5.3,1.9,"notsetosa"
"113",6.8,3,5.5,2.1,"notsetosa"
"114",5.7,2.5,5,2,"notsetosa"
"115",5.8,2.8,5.1,2.4,"notsetosa"
"116",6.4,3.2,5.3,2.3,"notsetosa"
"117",6.5,3,5.5,1.8,"notsetosa"
"118",7.7,3.8,6.7,2.2,"notsetosa"
"119",7.7,2.6,6.9,2.3,"notsetosa"
"120",6,2.2,5,1.5,"notsetosa"
"121",6.9,3.2,5.7,2.3,"notsetosa"
"122",5.6,2.8,4.9,2,"notsetosa"
"123",7.7,2.8,6.7,2,"notsetosa"
"124",6.3,2.7,4.9,1.8,"notsetosa"
"125",6.7,3.3,5.7,2.1,"notsetosa"
"126",7.2,3.2,6,1.8,"notsetosa"
"127",6.2,2.8,4.8,1.8,"notsetosa"
"128",6.1,3,4.9,1.8,"notsetosa"
"129",6.4,2.8,5.6,2.1,"notsetosa"
"130",7.2,3,5.8,1.6,"notsetosa"
"131",7.4,2.8,6.1,1.9,"notsetosa"
"132",7.9,3.8,6.4,2,"notsetosa"
"133",6.4,2.8,5.6,2.2,"notsetosa"
"134",6.3,2.8,5.1,1.5,"notsetosa"
"135",6.1,2.6,5.6,1.4,"notsetosa"
"136",7.7,3,6.1,2.3,"notsetosa"
"137",6.3,3.4,5.6,2.4,"notsetosa"
"138",6.4,3.1,5.5,1.8,"notsetosa"
"139",6,3,4.8,1.8,"notsetosa"
"140",6.9,3.1,5.4,2.1,"notsetosa"
"141",6.7,3.1,5.6,2.4,"notsetosa"
"142",6.9,3.1,5.1,2.3,"notsetosa"
"143",5.8,2.7,5.1,1.9,"notsetosa"
"144",6.8,3.2,5.9,2.3,"notsetosa"
"145",6.7,3.3,5.7,2.5,"notsetosa"
"146",6.7,3,5.2,2.3,"notsetosa"
"147",6.3,2.5,5,1.9,"notsetosa"
"148",6.5,3,5.2,2,"notsetosa"
"149",6.2,3.4,5.4,2.3,"notsetosa"
"150",5.9,3,5.1,1.8,"notsetosa"
